lesson,classroom,volume,ach
lesson0-0,classroom0,180,3.0
lesson0-1,classroom1,180,3.0
lesson0-2,classroom2,180,3.0
lesson0-3,classroom3,180,3.0
lesson0-4,classroom4,180,3.0
lesson0-5,classroom5,180,3.0
lesson0-6,classroom6,180,3.0
lesson0-7,classroom7,180,3.0
lesson0-8,classroom8,180,3.0
lesson0-9,classroom9,180,3.0
lesson0-10,classroom10,180,3.0
lesson0-11,classroom11,180,3.0
lesson0-12,classroom12,180,3.0
lesson0-13,classroom13,180,3.0
lesson0-14,classroom14,180,3.0
lesson0-15,classroom15,180,3.0
lesson0-16,classroom16,180,3.0
lesson0-17,classroom17,180,3.0
lesson0-18,classroom18,180,3.0
lesson0-19,classroom19,180,3.0
lesson1-0,classroom0,180,3.0
lesson1-1,classroom1,180,3.0
lesson1-2,classroom2,180,3.0
lesson1-3,classroom3,180,3.0
lesson1-4,classroom4,180,3.0
lesson1-5,classroom5,180,3.0
lesson1-6,classroom6,180,3.0
lesson1-7,classroom7,180,3.0
lesson1-8,classroom8,180,3.0
lesson1-9,classroom9,180,3.0
lesson1-10,classroom10,180,3.0
lesson1-11,classroom11,180,3.0
lesson1-12,classroom12,180,3.0
lesson1-13,classroom13,180,3.0
lesson1-14,classroom14,180,3.0
lesson1-15,classroom15,180,3.0
lesson1-16,classroom16,180,3.0
lesson1-17,classroom17,180,3.0
lesson1-18,classroom18,180,3.0
lesson1-19,classroom19,180,3.0
lesson2-0,classroom0,180,3.0
lesson2-1,classroom1,180,3.0
lesson2-2,classroom2,180,3.0
lesson2-3,classroom3,180,3.0
lesson2-4,classroom4,180,3.0
lesson2-5,classroom5,180,3.0
lesson2-6,classroom6,180,3.0
lesson2-7,classroom7,180,3.0
lesson2-8,classroom8,180,3.0
lesson2-9,classroom9,180,3.0
lesson2-10,classroom10,180,3.0
lesson2-11,classroom11,180,3.0
lesson2-12,classroom12,180,3.0
lesson2-13,classroom13,180,3.0
lesson2-14,classroom14,180,3.0
lesson2-15,classroom15,180,3.0
lesson2-16,classroom16,180,3.0
lesson2-17,classroom17,180,3.0
lesson2-18,classroom18,180,3.0
lesson2-19,classroom19,180,3.0
lesson3-0,classroom0,180,3.0
lesson3-1,classroom1,180,3.0
lesson3-2,classroom2,180,3.0
lesson3-3,classroom3,180,3.0
lesson3-4,classroom4,180,3.0
lesson3-5,classroom5,180,3.0
lesson3-6,classroom6,180,3.0
lesson3-7,classroom7,180,3.0
lesson3-8,classroom8,180,3.0
lesson3-9,classroom9,180,3.0
lesson3-10,classroom10,180,3.0
lesson3-11,classroom11,180,3.0
lesson3-12,classroom12,180,3.0
lesson3-13,classroom13,180,3.0
lesson3-14,classroom14,180,3.0
lesson3-15,classroom15,180,3.0
lesson3-16,classroom16,180,3.0
lesson3-17,classroom17,180,3.0
lesson3-18,classroom18,180,3.0
lesson3-19,classroom19,180,3.0
lesson4-0,classroom0,180,3.0
lesson4-1,classroom1,180,3.0
lesson4-2,classroom2,180,3.0
lesson4-3,classroom3,180,3.0
lesson4-4,classroom4,180,3.0
lesson4-5,classroom5,180,3.0
lesson4-6,classroom6,180,3.0
lesson4-7,classroom7,180,3.0
lesson4-8,classroom8,180,3.0
lesson4-9,classroom9,180,3.0
lesson4-10,classroom10,180,3.0
lesson4-11,classroom11,180,3.0
lesson4-12,classroom12,180,3.0
lesson4-13,classroom13,180,3.0
lesson4-14,classroom14,180,3.0
lesson4-15,classroom15,180,3.0
lesson4-16,classroom16,180,3.0
lesson4-17,classroom17,180,3.0
lesson4-18,classroom18,180,3.0
lesson4-19,classroom19,180,3.0
lesson5-0,classroom0,180,3.0
lesson5-1,classroom1,180,3.0
lesson5-2,classroom2,180,3.0
lesson5-3,classroom3,180,3.0
lesson5-4,classroom4,180,3.0
lesson5-5,classroom5,180,3.0
lesson5-6,classroom6,180,3.0
lesson5-7,classroom7,180,3.0
lesson5-8,classroom8,180,3.0
lesson5-9,classroom9,180,3.0
lesson5-10,classroom10,180,3.0
lesson5-11,classroom11,180,3.0
lesson5-12,classroom12,180,3.0
lesson5-13,classroom13,180,3.0
lesson5-14,classroom14,180,3.0
lesson5-15,classroom15,180,3.0
lesson5-16,classroom16,180,3.0
lesson5-17,classroom17,180,3.0
lesson5-18,classroom18,180,3.0
lesson5-19,classroom19,180,3.0
lesson6-0,classroom0,180,3.0
lesson6-1,classroom1,180,3.0
lesson6-2,classroom2,180,3.0
lesson6-3,classroom3,180,3.0
lesson6-4,classroom4,180,3.0
lesson6-5,classroom5,180,3.0
lesson6-6,classroom6,180,3.0
lesson6-7,classroom7,180,3.0
lesson6-8,classroom8,180,3.0
lesson6-9,classroom9,180,3.0
lesson6-10,classroom10,180,3.0
lesson6-11,classroom11,180,3.0
lesson6-12,classroom12,180,3.0
lesson6-13,classroom13,180,3.0
lesson6-14,classroom14,180,3.0
lesson6-15,classroom15,180,3.0
lesson6-16,classroom16,180,3.0
lesson6-17,classroom17,180,3.0
lesson6-18,classroom18,180,3.0
lesson6-19,classroom19,180,3.0
