daycount,agent_schedule,classroom_schedule
0,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
1,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
2,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
3,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
4,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
5,,
6,,
7,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
8,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
9,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
10,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
11,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
12,,
13,,
14,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
15,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
16,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
17,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
18,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
19,,
20,,
21,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
22,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
23,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
24,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
25,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
26,,
27,,
28,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
29,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
30,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
31,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
32,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
33,,
34,,
35,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
36,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
37,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
38,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
39,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
40,,
41,,
42,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
43,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
44,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
45,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
46,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
47,,
48,,
49,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
50,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
51,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
52,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
53,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
54,,
55,,
56,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
57,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
58,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
59,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
60,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
61,,
62,,
63,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
64,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
65,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
66,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
67,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
68,,
69,,
70,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
71,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
72,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
73,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
74,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
75,,
76,,
77,agent_schedule_w1_2-2Virtual.csv,classroom_AddVirtual.csv
78,agent_schedule_w2_2-2Virtual.csv,classroom_AddVirtual.csv
79,agent_schedule_w3_2-1After2BeforeVirtual.csv,classroom_AddVirtual.csv
80,agent_schedule_w4_2-1Virtual.csv,classroom_AddVirtual.csv
81,agent_schedule_w5_2-1Virtual.csv,classroom_AddVirtual.csv
82,,
83,,
